#
#
#
#
#
#
#
#   Quelldatei:groundel100-25.gxx  
#    Zieldatei:groundel100-25.dat  
#
#  Querschnitt:   170.410
#   Messlaenge:    15.000
#     [N/mm**2]            [N]        [%-ext]       [%-trav]            [s]           [mm]
#
         0.5148        87.7200        37.4400        37.4400      3608.0901       410.1020
         0.5218        88.9200        38.0533        38.0533      3608.2100       410.2830
         0.5286        90.0800        38.7000        38.7000      3608.3301       410.4610
         0.5349        91.1600        39.2867        39.2867      3608.4500       410.6340
         0.5412        92.2200        39.8333        39.8333      3608.5701       410.8060
         0.5476        93.3200        40.3867        40.3867      3608.6899       410.9840
         0.5541        94.4200        40.9667        40.9667      3608.8101       411.1620
         0.5604        95.5000        41.6133        41.6133      3608.9299       411.3420
         0.5665        96.5400        42.2600        42.2600      3609.0500       411.5250
         0.5729        97.6200        42.8800        42.8800      3609.1699       411.7090
         0.5786        98.6000        43.4600        43.4600      3609.2900       411.8840
         0.5840        99.5200        44.0733        44.0733      3609.4099       412.0520
         0.5893       100.4200        44.6600        44.6600      3609.5300       412.2210
         0.5943       101.2800        45.2733        45.2733      3609.6499       412.3920
         0.5994       102.1400        45.8867        45.8867      3609.7700       412.5650
         0.6043       102.9800        46.5000        46.5000      3609.8899       412.7320
         0.6091       103.8000        47.0200        47.0200      3610.0100       412.8970
         0.6137       104.5800        47.6000        47.6000      3610.1299       413.0600
         0.6187       105.4400        48.1867        48.1867      3610.2500       413.2370
         0.6238       106.3000        48.8000        48.8000      3610.3701       413.4120
         0.6286       107.1200        49.4133        49.4133      3610.4900       413.5890
         0.6332       107.9000        50.0267        50.0267      3610.6101       413.7630
   #     0.6225       106.0800        50.3200        50.3200      3611.1201       413.8270
   #     0.6133       104.5200        50.3533        50.3533      3611.6299       413.7940
   #     0.6033       102.8000        50.2200        50.2200      3612.1399       413.7220
   #     0.5967       101.6800        50.0933        50.0933      3612.6499       413.6760
   #     0.5925       100.9600        50.0600        50.0600      3613.1599       413.6590
         0.5890       100.3800        50.0267        50.0267      3613.6699       413.6530
         0.5864        99.9200        50.0267        50.0267      3614.1799       413.6530
         0.5840        99.5200        50.0267        50.0267      3614.6899       413.6530
         0.5815        99.1000        50.0267        50.0267      3615.2000       413.6530
         0.5795        98.7600        50.0267        50.0267      3615.7100       413.6530
         0.5777        98.4400        50.0267        50.0267      3616.2200       413.6530
         0.5759        98.1400        50.0267        50.0267      3616.7300       413.6520
         0.5743        97.8600        50.0267        50.0267      3617.2400       413.6520
         0.5727        97.6000        50.0267        50.0267      3617.7500       413.6520
         0.5712        97.3400        50.0267        50.0267      3618.2600       413.6520
         0.5698        97.1000        50.0267        50.0267      3618.7700       413.6520
         0.5685        96.8800        50.0267        50.0267      3619.2800       413.6520
         0.5673        96.6800        50.0267        50.0267      3619.7900       413.6520
         0.5663        96.5000        50.0267        50.0267      3620.3000       413.6520
         0.5652        96.3200        50.0267        50.0267      3620.8101       413.6520
         0.5641        96.1200        50.0267        50.0267      3621.3201       413.6520
         0.5631        95.9600        50.0267        50.0267      3621.8301       413.6520
         0.5622        95.8000        50.0267        50.0267      3622.3401       413.6520
         0.5612        95.6400        50.0267        50.0267      3622.8501       413.6520
         0.5604        95.5000        50.0267        50.0267      3623.3601       413.6520
         0.5596        95.3600        50.0267        50.0267      3623.8701       413.6520
         0.5588        95.2200        50.0267        50.0267      3624.3799       413.6520
         0.5578        95.0600        50.0267        50.0267      3624.8899       413.6520
         0.5571        94.9400        50.0267        50.0267      3625.3999       413.6520
         0.5564        94.8200        50.0267        50.0267      3625.9099       413.6520
         0.5557        94.7000        50.0267        50.0267      3626.4199       413.6520
         0.5550        94.5800        50.0267        50.0267      3626.9299       413.6520
         0.5544        94.4800        50.0267        50.0267      3627.4399       413.6520
         0.5537        94.3600        50.0267        50.0267      3627.9500       413.6520
         0.5531        94.2600        50.0267        50.0267      3628.4600       413.6520
         0.5524        94.1400        50.0267        50.0267      3628.9700       413.6520
         0.5520        94.0600        50.0267        50.0267      3629.4800       413.6520
         0.5514        93.9600        50.0267        50.0267      3629.9900       413.6520
